age,job,marital,education,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,purchase
52,management,married,unknown,42035,yes,no,cellular,1,nov,1081,49,8,nonexistent,no
53,entrepreneur,married,unknown,28294,no,yes,cellular,1,jun,117,1,2,failure,no
67,unemployed,married,primary,3273,yes,no,telephone,4,sep,3222,48,0,success,no
21,blue-collar,single,primary,6697,yes,no,telephone,18,dec,2784,33,0,failure,yes
19,retired,married,unknown,3628,yes,yes,cellular,29,jan,1382,29,0,nonexistent,no
23,retired,divorced,secondary,35681,no,no,cellular,19,oct,3626,35,3,nonexistent,no
71,housemaid,divorced,primary,43849,no,no,telephone,10,jan,2592,37,4,success,no
21,technician,married,secondary,23414,yes,no,telephone,18,apr,588,31,7,failure,no
71,management,single,primary,42831,yes,yes,telephone,10,oct,2729,46,9,failure,yes
80,entrepreneur,divorced,secondary,2718,yes,no,cellular,9,jun,3520,46,6,success,no
35,entrepreneur,divorced,primary,17060,yes,yes,cellular,30,sep,524,7,9,success,no
61,admin.,single,unknown,-1904,no,no,cellular,22,feb,917,20,3,success,no
51,technician,single,tertiary,16347,yes,no,cellular,7,may,2181,43,1,nonexistent,no
91,retired,married,tertiary,36169,yes,yes,cellular,6,jul,3393,22,1,nonexistent,no
79,student,divorced,secondary,28396,yes,no,telephone,1,dec,1229,42,1,success,no
31,housemaid,divorced,secondary,9058,yes,no,telephone,30,apr,2602,12,0,failure,no
65,unemployed,married,unknown,10218,yes,no,cellular,5,jun,1065,10,5,success,no
32,housemaid,married,unknown,14982,no,yes,telephone,19,jun,2714,38,3,success,no
89,retired,divorced,secondary,30281,no,yes,telephone,15,apr,1618,31,2,success,no
79,admin.,divorced,tertiary,1963,no,yes,telephone,26,apr,3854,40,0,success,no
57,blue-collar,single,unknown,23004,no,no,telephone,24,sep,2566,39,6,nonexistent,no
70,entrepreneur,single,secondary,44622,no,yes,telephone,14,nov,2334,45,8,nonexistent,no
41,unemployed,divorced,unknown,21677,yes,no,cellular,7,jan,1292,21,3,failure,no
43,technician,divorced,unknown,42741,no,no,telephone,9,may,3966,23,0,nonexistent,no
77,retired,single,primary,-676,no,yes,cellular,12,nov,1264,31,2,success,no
58,management,married,unknown,25166,no,yes,cellular,17,sep,3276,44,8,success,no
46,student,married,secondary,41374,yes,no,telephone,18,sep,302,44,0,success,yes
32,housemaid,divorced,unknown,44908,yes,yes,telephone,2,sep,2293,30,0,failure,no
62,admin.,divorced,secondary,22495,yes,yes,telephone,17,feb,3884,22,4,nonexistent,no
82,blue-collar,single,primary,48919,yes,no,telephone,24,jul,554,45,4,success,no
88,services,divorced,primary,35932,no,no,cellular,28,oct,3263,21,7,success,yes
26,student,married,tertiary,24092,no,no,telephone,20,aug,3852,41,0,success,no
18,retired,single,primary,-661,no,yes,cellular,7,jan,1721,20,7,failure,no
25,blue-collar,single,primary,46316,yes,no,cellular,10,feb,2715,28,1,nonexistent,no
80,student,married,secondary,10286,no,yes,telephone,15,jan,2700,39,0,failure,no
28,student,married,tertiary,27235,no,no,cellular,1,sep,3686,16,7,nonexistent,yes
25,entrepreneur,single,primary,9595,yes,yes,cellular,24,oct,3950,19,9,success,no
52,student,divorced,unknown,23552,yes,yes,cellular,11,nov,654,24,1,failure,no
52,management,married,tertiary,11629,no,no,telephone,8,may,3090,43,4,failure,no
50,blue-collar,single,primary,44489,no,yes,cellular,27,apr,1237,31,9,failure,no
22,retired,divorced,tertiary,37234,no,yes,telephone,26,aug,1561,5,5,nonexistent,no
58,retired,divorced,primary,27925,no,yes,cellular,12,mar,868,17,2,failure,no
45,management,single,secondary,36231,no,no,cellular,3,aug,594,1,8,failure,no
24,technician,married,tertiary,36258,no,yes,telephone,25,mar,2747,37,8,success,no
90,blue-collar,divorced,tertiary,10843,yes,no,cellular,15,jun,2052,30,7,failure,no
89,student,married,primary,30035,yes,no,telephone,21,apr,3327,32,6,success,yes
29,admin.,single,tertiary,21988,no,yes,cellular,5,aug,3590,32,4,success,no
51,unemployed,married,primary,48422,yes,yes,cellular,28,jul,2242,2,9,failure,no
50,blue-collar,divorced,unknown,30683,no,no,telephone,30,dec,1602,34,1,success,no
65,services,single,tertiary,30986,no,no,cellular,5,may,1396,44,2,nonexistent,no
40,admin.,divorced,tertiary,31301,yes,yes,telephone,17,mar,2143,29,4,nonexistent,no
79,management,divorced,secondary,12977,yes,no,cellular,30,may,3098,5,7,nonexistent,no
54,student,single,secondary,45622,no,no,telephone,26,apr,842,30,0,success,no
61,technician,single,tertiary,5951,yes,no,cellular,2,aug,2882,43,0,nonexistent,no
52,services,married,secondary,24071,no,yes,telephone,1,nov,2760,45,6,nonexistent,yes
82,technician,single,tertiary,7565,yes,yes,telephone,18,may,204,18,0,success,no
64,technician,married,primary,26715,no,no,telephone,25,oct,2062,14,2,failure,no
20,housemaid,single,tertiary,47216,yes,yes,cellular,9,oct,415,37,7,success,no
18,entrepreneur,divorced,tertiary,35109,no,yes,telephone,29,may,2954,11,8,success,yes
22,services,married,unknown,35850,yes,no,cellular,30,feb,184,4,4,failure,no
31,unemployed,single,secondary,44664,yes,no,telephone,5,sep,1978,22,5,nonexistent,no
44,entrepreneur,married,secondary,9334,yes,yes,telephone,20,jun,1165,49,7,nonexistent,no
26,services,married,unknown,46836,no,yes,telephone,13,nov,1951,46,2,success,no
32,technician,married,primary,24300,yes,yes,cellular,2,jan,609,3,0,nonexistent,no
59,entrepreneur,divorced,primary,17369,yes,yes,telephone,22,mar,2752,24,8,success,no
94,services,single,primary,36362,no,yes,cellular,13,apr,3881,34,1,success,no
68,unemployed,single,unknown,22401,no,yes,telephone,25,oct,119,8,8,nonexistent,yes
80,admin.,married,tertiary,42614,yes,yes,telephone,29,oct,3659,24,1,success,no
69,blue-collar,single,primary,46350,yes,no,telephone,8,feb,2669,16,7,nonexistent,no
21,student,divorced,primary,18639,yes,yes,cellular,10,nov,1486,6,2,failure,no
40,services,married,unknown,15388,yes,yes,telephone,20,oct,2896,21,8,success,no
32,unemployed,divorced,secondary,16506,no,yes,cellular,6,apr,237,32,9,nonexistent,no
60,blue-collar,divorced,unknown,10766,yes,yes,telephone,11,feb,753,39,3,failure,no
46,entrepreneur,single,secondary,4696,no,no,cellular,14,jun,756,22,7,success,no
53,services,single,primary,1981,no,no,cellular,25,oct,3857,47,3,failure,no
30,services,married,primary,14855,yes,no,telephone,10,sep,3629,9,2,success,no
49,management,divorced,tertiary,17789,no,yes,telephone,10,jan,2548,18,0,nonexistent,yes
88,services,single,tertiary,-1692,yes,yes,cellular,11,may,1301,12,3,failure,no
76,student,married,secondary,38463,no,no,cellular,4,sep,2725,6,1,failure,no
45,management,married,primary,25510,no,no,cellular,25,nov,2571,27,8,failure,no
83,blue-collar,single,primary,27372,no,yes,telephone,28,jul,2936,44,1,nonexistent,no
59,entrepreneur,divorced,unknown,5707,yes,yes,cellular,24,nov,3671,39,7,success,yes
62,entrepreneur,married,primary,13522,no,yes,telephone,3,jun,668,47,9,nonexistent,no
79,retired,single,primary,33815,no,no,telephone,9,jul,1374,1,9,failure,yes
74,retired,married,unknown,24497,no,yes,cellular,29,sep,2362,15,6,failure,no
23,blue-collar,single,unknown,28524,no,no,cellular,28,mar,377,14,5,failure,no
45,housemaid,married,primary,41959,no,no,cellular,5,aug,3886,13,3,nonexistent,no
45,unemployed,divorced,tertiary,32785,no,no,cellular,1,jan,3773,21,2,failure,no
61,housemaid,married,tertiary,11366,yes,yes,cellular,11,oct,3550,46,9,success,no
47,unemployed,single,primary,35649,no,yes,cellular,8,jun,3045,47,4,success,yes
79,management,single,tertiary,32246,no,no,cellular,21,sep,581,41,1,nonexistent,yes
92,blue-collar,single,unknown,24928,yes,no,telephone,5,jan,3306,6,1,success,no
79,unemployed,divorced,tertiary,18581,no,no,cellular,2,may,2867,20,7,nonexistent,yes
18,retired,single,primary,22105,no,yes,cellular,9,aug,784,4,2,nonexistent,no
44,retired,single,tertiary,35638,yes,yes,cellular,6,oct,819,40,6,failure,no
79,technician,divorced,primary,17843,yes,yes,telephone,11,nov,2242,19,5,nonexistent,no
94,unemployed,single,tertiary,42714,no,no,telephone,10,jun,793,43,7,failure,no
20,blue-collar,single,primary,40191,no,yes,cellular,12,jun,3054,40,2,success,yes
87,admin.,divorced,primary,3434,no,yes,telephone,3,mar,1660,10,0,success,no
89,management,married,tertiary,31339,no,yes,cellular,7,aug,3490,5,5,failure,no
44,services,single,tertiary,17973,yes,yes,cellular,18,jan,1455,2,5,failure,no
26,services,married,unknown,39107,no,no,cellular,23,dec,309,31,7,success,no
79,unemployed,divorced,secondary,9635,yes,yes,telephone,12,apr,3631,44,9,nonexistent,no
54,housemaid,single,primary,-1404,no,yes,telephone,11,aug,1289,20,2,failure,yes
68,management,single,primary,19457,yes,no,telephone,2,jun,2291,6,8,failure,yes
61,entrepreneur,divorced,primary,30415,no,no,telephone,27,nov,2870,43,5,failure,yes
41,student,single,primary,48222,yes,yes,telephone,21,sep,2300,19,0,nonexistent,yes
76,services,married,tertiary,26321,yes,yes,telephone,10,jan,679,18,2,nonexistent,no
49,retired,married,tertiary,12834,yes,no,cellular,13,feb,3546,30,3,failure,no
69,management,divorced,secondary,35018,yes,no,telephone,26,dec,3993,7,2,success,yes
79,housemaid,single,primary,18709,yes,yes,cellular,13,jan,1421,17,5,nonexistent,no
75,blue-collar,single,secondary,1371,no,yes,telephone,15,nov,359,4,6,failure,no
69,housemaid,divorced,unknown,-1843,no,yes,cellular,25,apr,3293,3,1,nonexistent,no
29,management,married,secondary,14032,no,no,cellular,13,sep,2348,25,5,success,yes
56,entrepreneur,married,secondary,1318,yes,no,telephone,9,apr,2630,30,3,nonexistent,no
19,services,divorced,unknown,11462,yes,yes,cellular,6,sep,3591,36,0,success,no
20,retired,single,unknown,43010,no,yes,telephone,3,jun,1540,14,1,nonexistent,no
73,admin.,married,secondary,37989,yes,no,cellular,28,may,1678,41,4,failure,no
76,blue-collar,single,unknown,6957,yes,no,cellular,20,oct,3702,23,8,failure,no
19,retired,married,secondary,9843,yes,no,telephone,20,apr,1367,16,4,failure,no
19,entrepreneur,single,tertiary,612,yes,no,cellular,9,oct,2953,28,7,success,no
71,student,married,tertiary,18946,no,yes,cellular,4,feb,1458,12,9,success,no
18,entrepreneur,single,secondary,10020,no,yes,cellular,20,aug,2866,8,1,nonexistent,no
36,entrepreneur,divorced,unknown,10773,no,no,telephone,5,mar,1905,30,4,failure,no
19,services,married,unknown,28247,yes,no,cellular,22,jan,1829,41,0,nonexistent,no
70,management,divorced,tertiary,-1557,no,no,cellular,24,nov,147,38,1,success,no
61,management,married,tertiary,36741,yes,no,telephone,12,oct,2175,46,2,failure,no
49,retired,married,unknown,15288,no,yes,cellular,17,jul,646,6,7,nonexistent,no
87,student,married,unknown,910,no,no,cellular,5,aug,1213,39,9,nonexistent,no
49,student,single,unknown,42169,yes,yes,telephone,25,jul,231,5,2,nonexistent,no
85,housemaid,married,unknown,32569,no,yes,cellular,26,apr,1403,3,3,nonexistent,no
72,admin.,divorced,secondary,15309,yes,yes,cellular,4,aug,169,10,3,success,no
92,entrepreneur,single,unknown,9913,no,yes,telephone,8,oct,1237,30,8,success,no
73,admin.,single,tertiary,12265,no,yes,telephone,9,apr,2614,16,3,nonexistent,no
34,technician,married,tertiary,26963,no,no,telephone,17,dec,537,11,8,success,no
55,unemployed,single,primary,27905,no,yes,cellular,24,may,2659,3,7,failure,no
41,entrepreneur,married,unknown,22235,no,no,cellular,8,aug,2860,15,3,failure,no
86,admin.,divorced,secondary,46824,no,no,cellular,5,feb,626,44,2,nonexistent,no
87,services,single,primary,7426,yes,yes,cellular,10,oct,2009,1,1,failure,no
28,unemployed,single,primary,922,no,no,cellular,18,aug,1690,13,7,failure,no
33,student,divorced,secondary,38323,no,no,cellular,28,may,3193,48,7,nonexistent,no
90,entrepreneur,divorced,primary,28091,yes,no,cellular,23,may,224,39,0,success,no
76,entrepreneur,married,primary,25771,yes,yes,cellular,14,jul,2483,39,6,nonexistent,no
87,student,single,tertiary,7776,no,yes,cellular,27,apr,1951,38,7,nonexistent,no
20,housemaid,divorced,primary,-1081,no,yes,cellular,27,mar,699,3,6,success,yes
37,services,single,secondary,35772,yes,no,telephone,5,jun,1566,30,2,success,no
76,entrepreneur,divorced,unknown,18954,no,no,cellular,15,jun,747,44,3,success,no
53,admin.,single,unknown,18837,no,no,telephone,28,oct,3127,41,4,failure,no
36,entrepreneur,divorced,unknown,7958,no,no,cellular,5,dec,3138,26,0,success,no
84,unemployed,single,tertiary,3575,yes,yes,telephone,22,jun,782,11,9,failure,no
36,entrepreneur,married,tertiary,49105,no,yes,telephone,12,jul,1519,6,2,success,no
37,admin.,single,tertiary,49720,yes,yes,telephone,10,apr,1597,12,5,nonexistent,yes
88,blue-collar,married,secondary,5945,no,no,cellular,8,mar,1448,16,2,success,no
69,unemployed,married,unknown,44962,yes,no,cellular,27,mar,1464,22,4,nonexistent,no
50,retired,married,secondary,8863,yes,no,telephone,1,mar,3212,22,3,nonexistent,no
57,retired,single,secondary,13857,no,no,cellular,3,feb,3646,38,1,success,yes
56,unemployed,single,primary,30309,yes,yes,telephone,28,jun,2652,12,3,failure,no
18,services,married,unknown,20954,yes,no,cellular,16,jan,1985,36,3,failure,no
28,blue-collar,divorced,primary,47594,no,yes,telephone,23,jun,3099,17,2,failure,no
74,unemployed,single,tertiary,31368,yes,yes,telephone,30,aug,2469,40,7,nonexistent,no
67,admin.,single,tertiary,25742,yes,no,telephone,11,jun,152,32,5,failure,no
40,technician,single,secondary,10134,yes,yes,telephone,9,feb,1339,45,0,nonexistent,no
48,management,single,secondary,46058,yes,yes,telephone,10,jul,426,37,8,success,yes
59,entrepreneur,married,primary,9580,no,no,cellular,2,dec,1573,3,2,failure,no
24,housemaid,divorced,primary,18966,no,yes,cellular,20,mar,823,25,3,success,no
33,blue-collar,divorced,secondary,14037,no,no,telephone,11,sep,3194,19,9,success,no
77,admin.,divorced,unknown,786,yes,no,cellular,20,dec,2685,37,9,nonexistent,no
19,housemaid,divorced,secondary,17079,no,yes,cellular,11,nov,2897,38,6,nonexistent,no
18,retired,married,unknown,13231,yes,no,telephone,7,aug,3457,41,4,nonexistent,no
65,unemployed,single,primary,9840,no,yes,cellular,21,jun,1521,49,3,nonexistent,no
29,blue-collar,single,tertiary,52,yes,yes,cellular,28,jan,1796,43,1,failure,no
86,student,married,tertiary,31399,no,yes,telephone,11,feb,1658,47,4,nonexistent,no
54,entrepreneur,single,primary,1442,yes,yes,cellular,5,dec,1127,19,7,success,yes
49,management,married,primary,-246,yes,yes,telephone,23,aug,3082,16,1,failure,no
26,retired,divorced,tertiary,41993,yes,yes,telephone,12,jun,464,26,0,failure,no
36,unemployed,married,unknown,7770,yes,no,cellular,18,jan,3776,33,5,failure,no
65,entrepreneur,single,primary,11499,no,yes,telephone,24,sep,3907,15,0,failure,no
20,retired,single,unknown,-1975,yes,yes,cellular,22,aug,3543,37,8,nonexistent,no
37,student,single,unknown,22330,yes,no,telephone,5,feb,3230,20,7,failure,no
41,housemaid,divorced,tertiary,8401,yes,no,telephone,15,oct,3649,5,3,failure,yes
71,management,married,unknown,38065,no,yes,telephone,12,dec,3663,48,6,failure,no
50,management,married,tertiary,45636,no,no,telephone,1,may,1690,40,9,nonexistent,no
41,entrepreneur,single,primary,4553,no,yes,cellular,30,mar,87,24,3,nonexistent,no
92,admin.,married,secondary,3759,yes,no,cellular,18,jan,656,6,5,failure,no
89,entrepreneur,single,secondary,5755,yes,no,cellular,6,jul,1112,12,9,failure,no
53,retired,married,secondary,11384,no,no,cellular,6,sep,849,4,6,success,no
55,admin.,divorced,secondary,27928,yes,yes,cellular,29,dec,3013,48,8,failure,no
42,management,divorced,secondary,25478,no,no,cellular,11,nov,257,43,1,success,no
35,technician,married,secondary,31897,yes,no,telephone,25,jul,3769,13,9,success,yes
83,management,divorced,unknown,35764,yes,yes,cellular,11,mar,3091,47,7,failure,no
71,entrepreneur,divorced,unknown,43064,no,yes,cellular,16,jun,3302,21,8,nonexistent,no
52,retired,divorced,secondary,30374,yes,no,cellular,6,mar,1160,5,3,nonexistent,yes
78,admin.,single,primary,18529,yes,no,cellular,1,apr,2098,13,7,failure,no
58,unemployed,married,primary,36409,yes,no,cellular,28,jan,1948,2,9,success,no
50,admin.,married,unknown,30368,no,yes,cellular,23,feb,1735,44,4,nonexistent,no
85,student,single,unknown,44669,yes,yes,cellular,16,jan,3019,6,8,nonexistent,no
50,services,single,secondary,12371,yes,no,cellular,28,oct,913,29,1,success,no
31,services,divorced,primary,5369,yes,yes,telephone,3,feb,423,23,0,nonexistent,no
38,blue-collar,married,tertiary,1895,yes,no,cellular,24,apr,3700,35,9,success,yes
65,housemaid,single,secondary,12453,no,no,telephone,6,jun,685,10,5,failure,no
37,blue-collar,divorced,unknown,2797,no,yes,cellular,3,nov,3259,20,3,success,no
25,blue-collar,married,unknown,43809,no,yes,cellular,19,dec,2139,25,5,nonexistent,no
24,admin.,divorced,unknown,-172,yes,yes,cellular,29,aug,1419,36,6,failure,no
84,retired,married,tertiary,7727,no,yes,cellular,8,oct,3598,10,8,failure,no
34,blue-collar,divorced,primary,10517,no,no,cellular,22,sep,1719,27,0,nonexistent,no
50,entrepreneur,married,unknown,14943,yes,no,cellular,2,oct,342,7,2,nonexistent,yes
65,admin.,married,secondary,40838,yes,yes,cellular,19,jul,2353,21,1,success,no
93,retired,married,tertiary,24831,yes,no,cellular,28,apr,450,22,4,success,yes
76,services,married,primary,40044,no,yes,telephone,15,jul,2836,46,9,failure,no
39,technician,divorced,secondary,22814,yes,yes,telephone,22,jan,3711,18,7,failure,no
47,entrepreneur,single,secondary,6050,no,no,telephone,14,nov,721,1,4,nonexistent,no
55,unemployed,married,tertiary,7663,yes,yes,cellular,14,dec,504,25,7,success,no
68,housemaid,married,tertiary,4900,no,no,cellular,23,oct,1967,21,2,failure,no
71,unemployed,married,tertiary,36355,yes,yes,cellular,4,nov,538,49,9,nonexistent,no
25,retired,married,unknown,19796,yes,no,telephone,24,nov,1620,30,0,success,no
44,student,divorced,primary,13784,no,yes,telephone,19,jun,3202,32,3,failure,no
44,retired,single,unknown,35380,yes,no,cellular,30,jan,1827,35,2,nonexistent,no
38,technician,single,tertiary,1683,no,yes,telephone,22,aug,3632,47,7,nonexistent,no
47,services,single,tertiary,6396,yes,yes,telephone,7,apr,2923,14,7,failure,no
45,management,divorced,tertiary,5347,no,yes,cellular,16,aug,2252,39,7,failure,no
81,retired,single,unknown,17984,no,no,telephone,8,aug,2555,42,2,success,no
86,services,divorced,secondary,41097,yes,yes,telephone,27,feb,162,25,7,failure,no
78,unemployed,divorced,tertiary,21027,yes,yes,cellular,15,jun,353,29,5,failure,no
65,retired,married,unknown,15597,yes,yes,telephone,20,oct,1790,40,7,failure,no
36,retired,divorced,tertiary,12072,no,yes,cellular,5,apr,125,32,8,success,no
21,blue-collar,single,unknown,10026,no,yes,cellular,22,mar,3040,11,0,nonexistent,no
52,unemployed,single,primary,33859,no,no,telephone,1,sep,951,28,0,failure,yes
81,housemaid,single,primary,48534,no,no,cellular,12,dec,3122,5,3,success,no
66,housemaid,married,unknown,44813,no,no,telephone,9,oct,113,35,0,success,no
34,entrepreneur,married,tertiary,38966,no,yes,telephone,19,dec,2305,25,8,nonexistent,no
61,student,married,unknown,29041,no,no,cellular,18,sep,996,41,8,success,no
47,management,divorced,primary,28987,yes,yes,telephone,27,feb,955,7,6,nonexistent,yes
63,retired,single,unknown,1498,no,no,cellular,7,may,373,33,1,failure,no
23,retired,divorced,primary,30256,yes,no,telephone,11,oct,2741,42,3,nonexistent,no
54,entrepreneur,divorced,primary,12905,no,no,cellular,11,oct,3347,27,3,success,no
41,student,single,secondary,36274,no,yes,cellular,30,jul,1874,44,9,nonexistent,no
63,unemployed,married,tertiary,22839,no,yes,cellular,20,sep,1419,47,4,failure,no
70,retired,single,unknown,137,yes,yes,cellular,20,aug,897,21,4,nonexistent,no
77,services,divorced,tertiary,13946,no,no,cellular,26,oct,1182,27,7,nonexistent,no
80,admin.,divorced,tertiary,22508,no,yes,cellular,15,apr,1236,25,2,nonexistent,yes
49,student,married,primary,13620,no,yes,cellular,25,mar,3455,22,6,failure,no
50,retired,divorced,primary,12823,yes,no,cellular,23,jan,3106,11,0,success,no
84,student,divorced,unknown,34633,yes,no,telephone,25,jan,2033,6,0,success,no
35,housemaid,single,unknown,3460,no,yes,telephone,17,sep,974,3,2,failure,no
42,management,married,unknown,35264,no,no,telephone,3,apr,1823,30,0,success,no
71,retired,single,primary,37666,no,yes,telephone,26,aug,3534,28,0,nonexistent,no
75,management,single,secondary,33314,yes,no,telephone,11,apr,2514,41,2,nonexistent,no
84,technician,single,unknown,35697,no,yes,telephone,26,dec,2068,17,8,success,no
63,admin.,divorced,primary,10722,no,yes,telephone,13,jun,1294,23,4,nonexistent,no
41,entrepreneur,divorced,secondary,22694,no,no,telephone,28,apr,2575,34,3,failure,no
49,management,married,tertiary,5214,yes,no,cellular,30,feb,2282,21,6,nonexistent,yes
64,retired,divorced,primary,29911,no,yes,telephone,6,jan,1305,5,1,failure,no
40,blue-collar,married,unknown,11310,no,no,telephone,14,aug,2817,44,5,nonexistent,no
83,entrepreneur,single,unknown,33163,yes,yes,telephone,11,jun,2103,15,9,success,no
44,entrepreneur,single,secondary,22055,no,no,telephone,13,jan,417,46,0,success,no
19,unemployed,divorced,secondary,12874,no,yes,cellular,17,may,23,2,3,nonexistent,no
34,management,divorced,primary,25943,no,no,cellular,14,mar,545,24,5,failure,no
50,blue-collar,married,secondary,29917,yes,yes,telephone,21,feb,374,10,9,failure,no
26,management,divorced,primary,-298,yes,no,telephone,14,mar,263,20,3,failure,yes
60,unemployed,divorced,secondary,18058,no,yes,cellular,4,feb,2901,35,6,failure,no
65,admin.,divorced,tertiary,39262,yes,yes,cellular,30,oct,1440,41,2,failure,no
56,retired,single,unknown,12537,no,no,cellular,4,feb,2992,47,2,failure,no
59,housemaid,divorced,unknown,10259,no,no,telephone,14,jan,1807,21,9,failure,no
43,housemaid,divorced,tertiary,13892,yes,yes,cellular,14,mar,1792,30,7,success,no
67,management,single,unknown,18635,yes,yes,cellular,28,mar,498,29,1,success,yes
42,unemployed,single,unknown,26544,yes,no,cellular,7,apr,3870,35,0,success,no
41,student,single,unknown,-1987,no,no,cellular,16,mar,3193,38,4,success,no
30,retired,single,unknown,49955,no,yes,cellular,14,aug,210,26,6,nonexistent,no
77,management,divorced,tertiary,48040,no,yes,cellular,5,dec,3383,20,3,failure,no
24,student,divorced,primary,42488,no,yes,telephone,7,apr,114,36,7,success,no
74,retired,divorced,unknown,40156,yes,no,telephone,17,oct,237,43,0,failure,no
53,student,married,tertiary,35308,no,no,cellular,27,jan,3506,40,4,failure,no
62,entrepreneur,single,unknown,6090,yes,yes,cellular,30,feb,2545,18,1,failure,no
37,management,divorced,tertiary,169,no,no,cellular,15,jul,2039,22,2,failure,yes
82,unemployed,divorced,tertiary,42528,no,yes,telephone,25,jun,1732,13,5,nonexistent,no
25,retired,divorced,primary,8423,yes,yes,telephone,24,sep,462,15,1,failure,yes
33,housemaid,single,secondary,40803,yes,no,telephone,7,jun,2937,16,7,success,no
31,management,single,primary,26452,no,no,telephone,10,feb,1715,25,3,success,no
